date,dmi_harmonie_arome_europe,metno_nordic,ecmwf_ifs025,ecmwf_aifs025_single,gfs_global,ecmwf_ifs,dmi_seamless,gfs_seamless
2025-11-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 08:00:00+00:00,0.0,1.0,2.0,7.0,3.0,3.0,0.0,3.0
2025-11-28 09:00:00+00:00,2.0,2.0,10.0,21.0,10.0,20.0,2.0,10.0
2025-11-28 10:00:00+00:00,5.0,4.0,19.0,30.0,14.0,21.0,5.0,14.0
2025-11-28 11:00:00+00:00,6.0,5.0,24.0,32.0,13.0,25.0,6.0,13.0
2025-11-28 12:00:00+00:00,6.0,5.0,22.0,29.0,9.0,21.0,6.0,9.0
2025-11-28 13:00:00+00:00,4.0,6.0,15.0,21.0,6.0,30.0,4.0,6.0
2025-11-28 14:00:00+00:00,3.0,4.0,7.0,11.0,3.0,16.0,3.0,3.0
2025-11-28 15:00:00+00:00,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0
2025-11-28 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-29 08:00:00+00:00,5.0,5.0,13.0,16.0,11.0,12.0,5.0,11.0
2025-11-29 09:00:00+00:00,53.0,29.0,52.0,49.0,95.0,53.0,53.0,95.0
2025-11-29 10:00:00+00:00,69.0,54.0,96.0,68.0,134.0,107.0,69.0,134.0
2025-11-29 11:00:00+00:00,99.0,112.0,122.0,72.0,183.0,163.0,99.0,183.0
2025-11-29 12:00:00+00:00,73.0,161.0,110.0,61.0,178.0,132.0,73.0,178.0
2025-11-29 13:00:00+00:00,54.0,82.0,75.0,42.0,131.0,77.0,54.0,131.0
2025-11-29 14:00:00+00:00,16.0,31.0,37.0,21.0,61.0,42.0,16.0,61.0
